!! 71927361
!" 76335169
!# 80874049
!$ 85544001
!% 90345025
!& 95277121
!' 100340289
!( 105534529
!) 110859841
!* 116316225
!+ 121903681
!, 127622209
!- 133471809
!. 139452481
!/ 145564225
!0 151807041
!1 158180929
!2 164685889
!3 171321921
!4 178089025
!5 184987201
!6 192016449
!7 199176769
!8 206468161
!9 213890625
!: 221444161
!; 229128769
!< 236944449
!= 244891201
!> 252969025
!? 261177921
!@ 269517889
!A 340956225
!B 350475841
!C 360126529
!D 369908289
!E 379821121
!F 389865025
!G 400040001
!H 410346049
!I 420783169
!J 431351361
!K 442050625
!L 452880961
!M 463842369
!N 474934849
!O 486158401
!P 497513025
!Q 508998721
!R 520615489
!S 532363329
!T 277988929
!U 286591041
!V 295324225
!W 304188481
!X 313183809
!Y 322310209
!Z 331567681
![ 544242241
!\ 556252225
!] 568393281
!^ 580665409
!_ 593068609
!` 605602881
!a 710595649
!b 724309569
!c 738154561
!d 752130625
!e 766237761
!f 780475969
!g 794845249
!h 809345601
!i 823977025
!j 838739521
!k 853633089
!l 868657729
!m 883813441
!n 899100225
!o 914518081
!p 930067009
!q 945747009
!r 961558081
!s 977500225
!t 618268225
!u 631064641
!v 643992129
!w 657050689
!x 670240321
!y 683561025
!z 697012801
!{ 993573441
!| 1009777729
!} 1026113089
!~ 1042579521
"! 71944324
"" 76352644
"# 80892036
"$ 85562500
"% 90364036
"& 95296644
"' 100360324
"( 105555076
") 110880900
"* 116337796
"+ 121925764
", 127644804
"- 133494916
". 139476100
"/ 145588356
"0 151831684
"1 158206084
"2 164711556
"3 171348100
"4 178115716
"5 185014404
"6 192044164
"7 199204996
"8 206496900
"9 213919876
": 221473924
"; 229159044
"< 236975236
"= 244922500
"> 253000836
"? 261210244
"@ 269550724
"A 340993156
"B 350513284
"C 360164484
"D 369946756
"E 379860100
"F 389904516
"G 400080004
"H 410386564
"I 420824196
"J 431392900
"K 442092676
"L 452923524
"M 463885444
"N 474978436
"O 486202500
"P 497557636
"Q 509043844
"R 520661124
"S 532409476
"T 278022276
"U 286624900
"V 295358596
"W 304223364
"X 313219204
"Y 322346116
"Z 331604100
"[ 544288900
"\ 556299396
"] 568440964
"^ 580713604
"_ 593117316
"` 605652100
"a 710648964
"b 724363396
"c 738208900
"d 752185476
"e 766293124
"f 780531844
"g 794901636
"h 809402500
"i 824034436
"j 838797444
"k 853691524
"l 868716676
"m 883872900
"n 899160196
"o 914578564
"p 930128004
"q 945808516
"r 961620100
"s 977562756
"t 618317956
"u 631114884
"v 644042884
"w 657101956
"x 670292100
"y 683613316
"z 697065604
"{ 993636484
"| 1009841284
"} 1026177156
"~ 1042644100
#! 71961289
#" 76370121
## 80910025
#$ 85581001
#% 90383049
#& 95316169
#' 100380361
#( 105575625
#) 110901961
#* 116359369
#+ 121947849
#, 127667401
#- 133518025
#. 139499721
#/ 145612489
#0 151856329
#1 158231241
#2 164737225
#3 171374281
#4 178142409
#5 185041609
#6 192071881
#7 199233225
#8 206525641
#9 213949129
#: 221503689
#; 229189321
#< 237006025
#= 244953801
#> 253032649
#? 261242569
#@ 269583561
#A 341030089
#B 350550729
#C 360202441
#D 369985225
#E 379899081
#F 389944009
#G 400120009
#H 410427081
#I 420865225
#J 431434441
#K 442134729
#L 452966089
#M 463928521
#N 475022025
#O 486246601
#P 497602249
#Q 509088969
#R 520706761
#S 532455625
#T 278055625
#U 286658761
#V 295392969
#W 304258249
#X 313254601
#Y 322382025
#Z 331640521
#[ 544335561
#\ 556346569
#] 568488649
#^ 580761801
#_ 593166025
#` 605701321
#a 710702281
#b 724417225
#c 738263241
#d 752240329
#e 766348489
#f 780587721
#g 794958025
#h 809459401
#i 824091849
#j 838855369
#k 853749961
#l 868775625
#m 883932361
#n 899220169
#o 914639049
#p 930189001
#q 945870025
#r 961682121
#s 977625289
#t 618367689
#u 631165129
#v 644093641
#w 657153225
#x 670343881
#y 683665609
#z 697118409
#{ 993699529
#| 1009904841
#} 1026241225
#~ 1042708681
$! 71978256
$" 76387600
$# 80928016
$$ 85599504
$% 90402064
$& 95335696
$' 100400400
$( 105596176
$) 110923024
$* 116380944
$+ 121969936
$, 127690000
$- 133541136
$. 139523344
$/ 145636624
$0 151880976
$1 158256400
$2 164762896
$3 171400464
$4 178169104
$5 185068816
$6 192099600
$7 199261456
$8 206554384
$9 213978384
$: 221533456
$; 229219600
$< 237036816
$= 244985104
$> 253064464
$? 261274896
$@ 269616400
$A 341067024
$B 350588176
$C 360240400
$D 370023696
$E 379938064
$F 389983504
$G 400160016
$H 410467600
$I 420906256
$J 431475984
$K 442176784
$L 453008656
$M 463971600
$N 475065616
$O 486290704
$P 497646864
$Q 509134096
$R 520752400
$S 532501776
$T 278088976
$U 286692624
$V 295427344
$W 304293136
$X 313290000
$Y 322417936
$Z 331676944
$[ 544382224
$\ 556393744
$] 568536336
$^ 580810000
$_ 593214736
$` 605750544
$a 710755600
$b 724471056
$c 738317584
$d 752295184
$e 766403856
$f 780643600
$g 795014416
$h 809516304
$i 824149264
$j 838913296
$k 853808400
$l 868834576
$m 883991824
$n 899280144
$o 914699536
$p 930250000
$q 945931536
$r 961744144
$s 977687824
$t 618417424
$u 631215376
$v 644144400
$w 657204496
$x 670395664
$y 683717904
$z 697171216
${ 993762576
$| 1009968400
$} 1026305296
$~ 1042773264
%! 71995225
%" 76405081
%# 80946009
%$ 85618009
%% 90421081
%& 95355225
%' 100420441
%( 105616729
%) 110944089
%* 116402521
%+ 121992025
%, 127712601
%- 133564249
%. 139546969
%/ 145660761
%0 151905625
%1 158281561
%2 164788569
%3 171426649
%4 178195801
%5 185096025
%6 192127321
%7 199289689
%8 206583129
%9 214007641
%: 221563225
%; 229249881
%< 237067609
%= 245016409
%> 253096281
%? 261307225
%@ 269649241
%A 341103961
%B 350625625
%C 360278361
%D 370062169
%E 379977049
%F 390023001
%G 400200025
%H 410508121
%I 420947289
%J 431517529
%K 442218841
%L 453051225
%M 464014681
%N 475109209
%O 486334809
%P 497691481
%Q 509179225
%R 520798041
%S 532547929
%T 278122329
%U 286726489
%V 295461721
%W 304328025
%X 313325401
%Y 322453849
%Z 331713369
%[ 544428889
%\ 556440921
%] 568584025
%^ 580858201
%_ 593263449
%` 605799769
%a 710808921
%b 724524889
%c 738371929
%d 752350041
%e 766459225
%f 780699481
%g 795070809
%h 809573209
%i 824206681
%j 838971225
%k 853866841
%l 868893529
%m 884051289
%n 899340121
%o 914760025
%p 930311001
%q 945993049
%r 961806169
%s 977750361
%t 618467161
%u 631265625
%v 644195161
%w 657255769
%x 670447449
%y 683770201
%z 697224025
%{ 993825625
%| 1010031961
%} 1026369369
%~ 1042837849
&! 72012196
&" 76422564
&# 80964004
&$ 85636516
&% 90440100
&& 95374756
&' 100440484
&( 105637284
&) 110965156
&* 116424100
&+ 122014116
&, 127735204
&- 133587364
&. 139570596
&/ 145684900
&0 151930276
&1 158306724
&2 164814244
&3 171452836
&4 178222500
&5 185123236
&6 192155044
&7 199317924
&8 206611876
&9 214036900
&: 221592996
&; 229280164
&< 237098404
&= 245047716
&> 253128100
&? 261339556
&@ 269682084
&A 341140900
&B 350663076
&C 360316324
&D 370100644
&E 380016036
&F 390062500
&G 400240036
&H 410548644
&I 420988324
&J 431559076
&K 442260900
&L 453093796
&M 464057764
&N 475152804
&O 486378916
&P 497736100
&Q 509224356
&R 520843684
&S 532594084
&T 278155684
&U 286760356
&V 295496100
&W 304362916
&X 313360804
&Y 322489764
&Z 331749796
&[ 544475556
&\ 556488100
&] 568631716
&^ 580906404
&_ 593312164
&` 605848996
&a 710862244
&b 724578724
&c 738426276
&d 752404900
&e 766514596
&f 780755364
&g 795127204
&h 809630116
&i 824264100
&j 839029156
&k 853925284
&l 868952484
&m 884110756
&n 899400100
&o 914820516
&p 930372004
&q 946054564
&r 961868196
&s 977812900
&t 618516900
&u 631315876
&v 644245924
&w 657307044
&x 670499236
&y 683822500
&z 697276836
&{ 993888676
&| 1010095524
&} 1026433444
&~ 1042902436
'! 72029169
'" 76440049
'# 80982001
'$ 85655025
'% 90459121
'& 95394289
'' 100460529
'( 105657841
') 110986225
'* 116445681
'+ 122036209
', 127757809
'- 133610481
'. 139594225
'/ 145709041
'0 151954929
'1 158331889
'2 164839921
'3 171479025
'4 178249201
'5 185150449
'6 192182769
'7 199346161
'8 206640625
'9 214066161
': 221622769
'; 229310449
'< 237129201
'= 245079025
'> 253159921
'? 261371889
'@ 269714929
'A 341177841
'B 350700529
'C 360354289
'D 370139121
'E 380055025
'F 390102001
'G 400280049
'H 410589169
'I 421029361
'J 431600625
'K 442302961
'L 453136369
'M 464100849
'N 475196401
'O 486423025
'P 497780721
'Q 509269489
'R 520889329
'S 532640241
'T 278189041
'U 286794225
'V 295530481
'W 304397809
'X 313396209
'Y 322525681
'Z 331786225
'[ 544522225
'\ 556535281
'] 568679409
'^ 580954609
'_ 593360881
'` 605898225
'a 710915569
'b 724632561
'c 738480625
'd 752459761
'e 766569969
'f 780811249
'g 795183601
'h 809687025
'i 824321521
'j 839087089
'k 853983729
'l 869011441
'm 884170225
'n 899460081
'o 914881009
'p 930433009
'q 946116081
'r 961930225
's 977875441
't 618566641
'u 631366129
'v 644296689
'w 657358321
'x 670551025
'y 683874801
'z 697329649
'{ 993951729
'| 1010159089
'} 1026497521
'~ 1042967025
(! 72046144
(" 76457536
(# 81000000
($ 85673536
(% 90478144
(& 95413824
(' 100480576
(( 105678400
() 111007296
(* 116467264
(+ 122058304
(, 127780416
(- 133633600
(. 139617856
(/ 145733184
(0 151979584
(1 158357056
(2 164865600
(3 171505216
(4 178275904
(5 185177664
(6 192210496
(7 199374400
(8 206669376
(9 214095424
(: 221652544
(; 229340736
(< 237160000
(= 245110336
(> 253191744
(? 261404224
(@ 269747776
(A 341214784
(B 350737984
(C 360392256
(D 370177600
(E 380094016
(F 390141504
(G 400320064
(H 410629696
(I 421070400
(J 431642176
(K 442345024
(L 453178944
(M 464143936
(N 475240000
(O 486467136
(P 497825344
(Q 509314624
(R 520934976
(S 532686400
(T 278222400
(U 286828096
(V 295564864
(W 304432704
(X 313431616
(Y 322561600
(Z 331822656
([ 544568896
(\ 556582464
(] 568727104
(^ 581002816
(_ 593409600
(` 605947456
(a 710968896
(b 724686400
(c 738534976
(d 752514624
(e 766625344
(f 780867136
(g 795240000
(h 809743936
(i 824378944
(j 839145024
(k 854042176
(l 869070400
(m 884229696
(n 899520064
(o 914941504
(p 930494016
(q 946177600
(r 961992256
(s 977937984
(t 618616384
(u 631416384
(v 644347456
(w 657409600
(x 670602816
(y 683927104
(z 697382464
